"id","crop_id","crop_name","crop_reg_name","lang_id","cat_id","update_time_stamp"
"1","26","BARLEY","BARLEY","2","1","2020-02-05 15:26:05"
"2","36","CASTOR","CASTOR","2","1","2020-02-05 15:26:05"
"3","48","CUMIN","CUMIN","2","2","2023-05-25 13:08:56"
"4","50","DIOSCOREA","DIOSCOREA","2","2","2023-05-25 13:10:06"
"5","54","GINGELLY","GINGELLY","2","1","2020-02-05 15:26:05"
"6","62","JUTE","JUTE","2","1","2020-02-05 15:26:05"
"7","74","MUSTARD","MUSTARD","2","1","2020-02-05 15:26:05"
"8","93","RICE","RICE","2","1","2021-06-04 16:31:11"
"9","94","RIDGE GOURD","RIDGE GOURD","2","2","2023-05-25 13:16:11"
"10","95","RUBBER","RUBBER","2","1","2020-02-05 15:26:05"
"11","107","RAPESEED","RAPESEED","2","1","2020-02-05 15:26:05"
"12","110","WHEAT","WHEAT","2","1","2020-02-05 15:26:05"
"13","111","CHICK PEA","CHICK PEA","2","1","2020-10-23 15:11:07"
"14","116","FOXTAIL MILLET","FOXTAIL MILLET","2","1","2020-02-05 15:26:05"
"15","119","POTATO","POTATO","2","2","2020-09-25 16:53:58"
"16","159","GROUNDNUT","GROUNDNUT","2","1","2020-02-05 15:26:05"
"17","163","TOBACCO","TOBACCO","2","1","2020-02-05 15:26:05"
"18","197","PIGEON PEA (RED GRAM/ARHAR)","PIGEON PEA (RED GRAM/ARHAR)","2","1","2020-02-05 15:26:05"
"19","217","NIGER","NIGER","2","1","2020-02-05 15:26:05"
"20","260","SAFFLOWER","SAFFLOWER","2","1","2020-02-05 15:26:05"
"21","305","BLACK GRAM","BLACK GRAM","2","1","2020-02-05 15:26:05"
"22","307","LUCERNE","LUCERNE","2","1","2020-02-05 15:26:05"
"23","326","GINGER","GINGER","2","2","2023-05-25 13:12:32"
"24","344","KODO MILLET","KODO MILLET","2","1","2020-02-05 15:26:05"
"25","353","RADISH","RADISH","2","2","2023-05-25 13:14:49"
